,,,Total Trips
Year2Clinton Hill-Theater District,Clinton Hill-Theater District,Year2,67
Year3Clinton Hill-Theater District,Clinton Hill-Theater District,Year3,67
Year1Clinton Hill-Tribeca,Clinton Hill-Tribeca,Year1,699
Year2Clinton Hill-Tribeca,Clinton Hill-Tribeca,Year2,934
Year3Clinton Hill-Tribeca,Clinton Hill-Tribeca,Year3,1193
Year1Clinton Hill-Two Bridges,Clinton Hill-Two Bridges,Year1,19
Year2Clinton Hill-Two Bridges,Clinton Hill-Two Bridges,Year2,9
Year3Clinton Hill-Two Bridges,Clinton Hill-Two Bridges,Year3,32
Year1Clinton Hill-Upper East Side,Clinton Hill-Upper East Side,Year1,8
Year2Clinton Hill-Upper East Side,Clinton Hill-Upper East Side,Year2,5
Year3Clinton Hill-Upper East Side,Clinton Hill-Upper East Side,Year3,61
Year1Clinton Hill-Upper West Side,Clinton Hill-Upper West Side,Year1,134
Year2Clinton Hill-Upper West Side,Clinton Hill-Upper West Side,Year2,17
Year3Clinton Hill-Upper West Side,Clinton Hill-Upper West Side,Year3,19
Year1Clinton Hill-Vinegar Hill,Clinton Hill-Vinegar Hill,Year1,2653
Year2Clinton Hill-Vinegar Hill,Clinton Hill-Vinegar Hill,Year2,2231
Year3Clinton Hill-Vinegar Hill,Clinton Hill-Vinegar Hill,Year3,3078
Year1Clinton Hill-West Village,Clinton Hill-West Village,Year1,338
Year2Clinton Hill-West Village,Clinton Hill-West Village,Year2,192
Year3Clinton Hill-West Village,Clinton Hill-West Village,Year3,252
Year1Clinton Hill-Williamsburg,Clinton Hill-Williamsburg,Year1,5212
Year2Clinton Hill-Williamsburg,Clinton Hill-Williamsburg,Year2,4454
Year3Clinton Hill-Williamsburg,Clinton Hill-Williamsburg,Year3,7106
Year1Columbia St-Battery Park City,Columbia St-Battery Park City,Year1,31
Year2Columbia St-Battery Park City,Columbia St-Battery Park City,Year2,22
Year3Columbia St-Battery Park City,Columbia St-Battery Park City,Year3,52
Year1Columbia St-Bedford-Stuyvesant,Columbia St-Bedford-Stuyvesant,Year1,121
Year2Columbia St-Bedford-Stuyvesant,Columbia St-Bedford-Stuyvesant,Year2,146
Year3Columbia St-Bedford-Stuyvesant,Columbia St-Bedford-Stuyvesant,Year3,193
Year1Columbia St-Boerum Hill,Columbia St-Boerum Hill,Year1,537
Year2Columbia St-Boerum Hill,Columbia St-Boerum Hill,Year2,509
Year3Columbia St-Boerum Hill,Columbia St-Boerum Hill,Year3,459
Year1Columbia St-Brooklyn Heights,Columbia St-Brooklyn Heights,Year1,1535
Year2Columbia St-Brooklyn Heights,Columbia St-Brooklyn Heights,Year2,1268
Year3Columbia St-Brooklyn Heights,Columbia St-Brooklyn Heights,Year3,2582
Year1Columbia St-Central Park,Columbia St-Central Park,Year1,1
Year3Columbia St-Central Park,Columbia St-Central Park,Year3,10
Year1Columbia St-Chelsea,Columbia St-Chelsea,Year1,52
Year2Columbia St-Chelsea,Columbia St-Chelsea,Year2,70
Year3Columbia St-Chelsea,Columbia St-Chelsea,Year3,139
Year1Columbia St-Chinatown,Columbia St-Chinatown,Year1,95
Year2Columbia St-Chinatown,Columbia St-Chinatown,Year2,112
Year3Columbia St-Chinatown,Columbia St-Chinatown,Year3,129
Year1Columbia St-Civic Center,Columbia St-Civic Center,Year1,188
Year2Columbia St-Civic Center,Columbia St-Civic Center,Year2,253
Year3Columbia St-Civic Center,Columbia St-Civic Center,Year3,310
Year1Columbia St-Clinton Hill,Columbia St-Clinton Hill,Year1,200
Year2Columbia St-Clinton Hill,Columbia St-Clinton Hill,Year2,186
Year3Columbia St-Clinton Hill,Columbia St-Clinton Hill,Year3,202
Year1Columbia St-Columbia St,Columbia St-Columbia St,Year1,1944
Year2Columbia St-Columbia St,Columbia St-Columbia St,Year2,1666
Year3Columbia St-Columbia St,Columbia St-Columbia St,Year3,2044
Year1Columbia St-DUMBO,Columbia St-DUMBO,Year1,2904
Year2Columbia St-DUMBO,Columbia St-DUMBO,Year2,2572
Year3Columbia St-DUMBO,Columbia St-DUMBO,Year3,3161
Year1Columbia St-Downtown Brooklyn,Columbia St-Downtown Brooklyn,Year1,550
Year2Columbia St-Downtown Brooklyn,Columbia St-Downtown Brooklyn,Year2,619
Year3Columbia St-Downtown Brooklyn,Columbia St-Downtown Brooklyn,Year3,577
Year1Columbia St-East Village,Columbia St-East Village,Year1,120
Year2Columbia St-East Village,Columbia St-East Village,Year2,154
Year3Columbia St-East Village,Columbia St-East Village,Year3,160
Year1Columbia St-Financial District,Columbia St-Financial District,Year1,131
Year2Columbia St-Financial District,Columbia St-Financial District,Year2,106
Year3Columbia St-Financial District,Columbia St-Financial District,Year3,155
Year1Columbia St-Flatiron District,Columbia St-Flatiron District,Year1,7
Year2Columbia St-Flatiron District,Columbia St-Flatiron District,Year2,9
Year3Columbia St-Flatiron District,Columbia St-Flatiron District,Year3,15
Year1Columbia St-Fort Greene,Columbia St-Fort Greene,Year1,767
Year2Columbia St-Fort Greene,Columbia St-Fort Greene,Year2,682
Year3Columbia St-Fort Greene,Columbia St-Fort Greene,Year3,642
Year3Columbia St-Governors Island,Columbia St-Governors Island,Year3,8
Year1Columbia St-Gramercy,Columbia St-Gramercy,Year1,77
Year2Columbia St-Gramercy,Columbia St-Gramercy,Year2,31
Year3Columbia St-Gramercy,Columbia St-Gramercy,Year3,52
Year3Columbia St-Greenpoint,Columbia St-Greenpoint,Year3,61
Year1Columbia St-Greenwich Village,Columbia St-Greenwich Village,Year1,81
Year2Columbia St-Greenwich Village,Columbia St-Greenwich Village,Year2,52
Year3Columbia St-Greenwich Village,Columbia St-Greenwich Village,Year3,92
Year1Columbia St-Hells Kitchen,Columbia St-Hells Kitchen,Year1,11
Year2Columbia St-Hells Kitchen,Columbia St-Hells Kitchen,Year2,14
Year3Columbia St-Hells Kitchen,Columbia St-Hells Kitchen,Year3,15
Year1Columbia St-Kips Bay,Columbia St-Kips Bay,Year1,33
Year2Columbia St-Kips Bay,Columbia St-Kips Bay,Year2,28
Year3Columbia St-Kips Bay,Columbia St-Kips Bay,Year3,50
Year3Columbia St-Long Island City,Columbia St-Long Island City,Year3,6
Year1Columbia St-Lower East Side,Columbia St-Lower East Side,Year1,107
Year2Columbia St-Lower East Side,Columbia St-Lower East Side,Year2,118
Year3Columbia St-Lower East Side,Columbia St-Lower East Side,Year3,103
Year1Columbia St-Midtown,Columbia St-Midtown,Year1,50
Year2Columbia St-Midtown,Columbia St-Midtown,Year2,58
Year3Columbia St-Midtown,Columbia St-Midtown,Year3,127
Year1Columbia St-Murray Hill,Columbia St-Murray Hill,Year1,2
Year2Columbia St-Murray Hill,Columbia St-Murray Hill,Year2,9
Year3Columbia St-Murray Hill,Columbia St-Murray Hill,Year3,30
Year1Columbia St-Navy Yard,Columbia St-Navy Yard,Year1,117
Year2Columbia St-Navy Yard,Columbia St-Navy Yard,Year2,13
Year3Columbia St-Navy Yard,Columbia St-Navy Yard,Year3,108
Year1Columbia St-NoHo,Columbia St-NoHo,Year1,8
Year2Columbia St-NoHo,Columbia St-NoHo,Year2,4
Year3Columbia St-NoHo,Columbia St-NoHo,Year3,15
Year1Columbia St-Nolita,Columbia St-Nolita,Year1,31
Year2Columbia St-Nolita,Columbia St-Nolita,Year2,69
Year3Columbia St-Nolita,Columbia St-Nolita,Year3,37
Year1Columbia St-Park Slope,Columbia St-Park Slope,Year1,309
Year2Columbia St-Park Slope,Columbia St-Park Slope,Year2,278
Year3Columbia St-Park Slope,Columbia St-Park Slope,Year3,349
Year3Columbia St-Prospect Park,Columbia St-Prospect Park,Year3,1
Year3Columbia St-Red Hook,Columbia St-Red Hook,Year3,1
Year1Columbia St-SoHo,Columbia St-SoHo,Year1,51
Year2Columbia St-SoHo,Columbia St-SoHo,Year2,113
Year3Columbia St-SoHo,Columbia St-SoHo,Year3,89
Year1Columbia St-Stuyvesant Town,Columbia St-Stuyvesant Town,Year1,11
Year2Columbia St-Stuyvesant Town,Columbia St-Stuyvesant Town,Year2,17
Year3Columbia St-Stuyvesant Town,Columbia St-Stuyvesant Town,Year3,85
Year1Columbia St-Theater District,Columbia St-Theater District,Year1,12
Year2Columbia St-Theater District,Columbia St-Theater District,Year2,14
Year3Columbia St-Theater District,Columbia St-Theater District,Year3,8
Year1Columbia St-Tribeca,Columbia St-Tribeca,Year1,80
Year2Columbia St-Tribeca,Columbia St-Tribeca,Year2,82
Year3Columbia St-Tribeca,Columbia St-Tribeca,Year3,98
Year1Columbia St-Two Bridges,Columbia St-Two Bridges,Year1,4
Year2Columbia St-Two Bridges,Columbia St-Two Bridges,Year2,3
Year3Columbia St-Two Bridges,Columbia St-Two Bridges,Year3,19
Year1Columbia St-Upper East Side,Columbia St-Upper East Side,Year1,1
Year3Columbia St-Upper East Side,Columbia St-Upper East Side,Year3,30
Year1Columbia St-Upper West Side,Columbia St-Upper West Side,Year1,5
Year2Columbia St-Upper West Side,Columbia St-Upper West Side,Year2,11
Year3Columbia St-Upper West Side,Columbia St-Upper West Side,Year3,9
Year1Columbia St-Vinegar Hill,Columbia St-Vinegar Hill,Year1,369
Year2Columbia St-Vinegar Hill,Columbia St-Vinegar Hill,Year2,239
Year3Columbia St-Vinegar Hill,Columbia St-Vinegar Hill,Year3,284
Year1Columbia St-West Village,Columbia St-West Village,Year1,71
Year2Columbia St-West Village,Columbia St-West Village,Year2,79
Year3Columbia St-West Village,Columbia St-West Village,Year3,58
Year1Columbia St-Williamsburg,Columbia St-Williamsburg,Year1,288
Year2Columbia St-Williamsburg,Columbia St-Williamsburg,Year2,281
Year3Columbia St-Williamsburg,Columbia St-Williamsburg,Year3,417
Year1DUMBO-Battery Park City,DUMBO-Battery Park City,Year1,285
Year2DUMBO-Battery Park City,DUMBO-Battery Park City,Year2,292
Year3DUMBO-Battery Park City,DUMBO-Battery Park City,Year3,595
Year1DUMBO-Bedford-Stuyvesant,DUMBO-Bedford-Stuyvesant,Year1,610
Year2DUMBO-Bedford-Stuyvesant,DUMBO-Bedford-Stuyvesant,Year2,512
Year3DUMBO-Bedford-Stuyvesant,DUMBO-Bedford-Stuyvesant,Year3,1009
Year1DUMBO-Boerum Hill,DUMBO-Boerum Hill,Year1,1618
Year2DUMBO-Boerum Hill,DUMBO-Boerum Hill,Year2,1235
Year3DUMBO-Boerum Hill,DUMBO-Boerum Hill,Year3,1334
Year1DUMBO-Brooklyn Heights,DUMBO-Brooklyn Heights,Year1,6099
Year2DUMBO-Brooklyn Heights,DUMBO-Brooklyn Heights,Year2,5346
Year3DUMBO-Brooklyn Heights,DUMBO-Brooklyn Heights,Year3,8104
Year1DUMBO-Central Park,DUMBO-Central Park,Year1,11
Year2DUMBO-Central Park,DUMBO-Central Park,Year2,10
Year3DUMBO-Central Park,DUMBO-Central Park,Year3,23
Year1DUMBO-Chelsea,DUMBO-Chelsea,Year1,417
Year2DUMBO-Chelsea,DUMBO-Chelsea,Year2,415
Year3DUMBO-Chelsea,DUMBO-Chelsea,Year3,502
Year1DUMBO-Chinatown,DUMBO-Chinatown,Year1,1185
Year2DUMBO-Chinatown,DUMBO-Chinatown,Year2,1047
Year3DUMBO-Chinatown,DUMBO-Chinatown,Year3,1697
Year1DUMBO-Civic Center,DUMBO-Civic Center,Year1,3011
Year2DUMBO-Civic Center,DUMBO-Civic Center,Year2,3540
Year3DUMBO-Civic Center,DUMBO-Civic Center,Year3,5536
Year1DUMBO-Clinton Hill,DUMBO-Clinton Hill,Year1,1605
Year2DUMBO-Clinton Hill,DUMBO-Clinton Hill,Year2,1291
Year3DUMBO-Clinton Hill,DUMBO-Clinton Hill,Year3,1590
Year1DUMBO-Columbia St,DUMBO-Columbia St,Year1,2712
Year2DUMBO-Columbia St,DUMBO-Columbia St,Year2,2373
Year3DUMBO-Columbia St,DUMBO-Columbia St,Year3,2934
Year1DUMBO-DUMBO,DUMBO-DUMBO,Year1,4187
Year2DUMBO-DUMBO,DUMBO-DUMBO,Year2,4046
Year3DUMBO-DUMBO,DUMBO-DUMBO,Year3,5515
Year1DUMBO-Downtown Brooklyn,DUMBO-Downtown Brooklyn,Year1,3451
Year2DUMBO-Downtown Brooklyn,DUMBO-Downtown Brooklyn,Year2,3240
Year3DUMBO-Downtown Brooklyn,DUMBO-Downtown Brooklyn,Year3,3836
Year1DUMBO-East Village,DUMBO-East Village,Year1,1098
Year2DUMBO-East Village,DUMBO-East Village,Year2,771
Year3DUMBO-East Village,DUMBO-East Village,Year3,1074
Year1DUMBO-Financial District,DUMBO-Financial District,Year1,1020
Year2DUMBO-Financial District,DUMBO-Financial District,Year2,1017
Year3DUMBO-Financial District,DUMBO-Financial District,Year3,1339
Year1DUMBO-Flatiron District,DUMBO-Flatiron District,Year1,96
Year2DUMBO-Flatiron District,DUMBO-Flatiron District,Year2,96
Year3DUMBO-Flatiron District,DUMBO-Flatiron District,Year3,135
Year1DUMBO-Fort Greene,DUMBO-Fort Greene,Year1,3465
Year2DUMBO-Fort Greene,DUMBO-Fort Greene,Year2,3156
Year3DUMBO-Fort Greene,DUMBO-Fort Greene,Year3,3934
Year3DUMBO-Governors Island,DUMBO-Governors Island,Year3,3
Year1DUMBO-Gramercy,DUMBO-Gramercy,Year1,413
Year2DUMBO-Gramercy,DUMBO-Gramercy,Year2,158
Year3DUMBO-Gramercy,DUMBO-Gramercy,Year3,217
Year3DUMBO-Greenpoint,DUMBO-Greenpoint,Year3,570
Year1DUMBO-Greenwich Village,DUMBO-Greenwich Village,Year1,355
Year2DUMBO-Greenwich Village,DUMBO-Greenwich Village,Year2,231
Year3DUMBO-Greenwich Village,DUMBO-Greenwich Village,Year3,376
Year1DUMBO-Hells Kitchen,DUMBO-Hells Kitchen,Year1,157
Year2DUMBO-Hells Kitchen,DUMBO-Hells Kitchen,Year2,108
Year3DUMBO-Hells Kitchen,DUMBO-Hells Kitchen,Year3,211
Year1DUMBO-Kips Bay,DUMBO-Kips Bay,Year1,192
Year2DUMBO-Kips Bay,DUMBO-Kips Bay,Year2,129
Year3DUMBO-Kips Bay,DUMBO-Kips Bay,Year3,116
Year3DUMBO-Long Island City,DUMBO-Long Island City,Year3,70
Year1DUMBO-Lower East Side,DUMBO-Lower East Side,Year1,912
Year2DUMBO-Lower East Side,DUMBO-Lower East Side,Year2,889
Year3DUMBO-Lower East Side,DUMBO-Lower East Side,Year3,856
Year1DUMBO-Midtown,DUMBO-Midtown,Year1,541
Year2DUMBO-Midtown,DUMBO-Midtown,Year2,602
Year3DUMBO-Midtown,DUMBO-Midtown,Year3,437
Year1DUMBO-Murray Hill,DUMBO-Murray Hill,Year1,111
Year2DUMBO-Murray Hill,DUMBO-Murray Hill,Year2,153
Year3DUMBO-Murray Hill,DUMBO-Murray Hill,Year3,238
Year1DUMBO-Navy Yard,DUMBO-Navy Yard,Year1,239
Year2DUMBO-Navy Yard,DUMBO-Navy Yard,Year2,230
Year3DUMBO-Navy Yard,DUMBO-Navy Yard,Year3,285
Year1DUMBO-NoHo,DUMBO-NoHo,Year1,104
Year2DUMBO-NoHo,DUMBO-NoHo,Year2,46
Year3DUMBO-NoHo,DUMBO-NoHo,Year3,75
Year1DUMBO-Nolita,DUMBO-Nolita,Year1,347
Year2DUMBO-Nolita,DUMBO-Nolita,Year2,365
Year3DUMBO-Nolita,DUMBO-Nolita,Year3,358
Year1DUMBO-Park Slope,DUMBO-Park Slope,Year1,581
Year2DUMBO-Park Slope,DUMBO-Park Slope,Year2,584
Year3DUMBO-Park Slope,DUMBO-Park Slope,Year3,485
Year3DUMBO-Red Hook,DUMBO-Red Hook,Year3,2
Year1DUMBO-SoHo,DUMBO-SoHo,Year1,486
Year2DUMBO-SoHo,DUMBO-SoHo,Year2,536
Year3DUMBO-SoHo,DUMBO-SoHo,Year3,811
Year1DUMBO-Stuyvesant Town,DUMBO-Stuyvesant Town,Year1,103
Year2DUMBO-Stuyvesant Town,DUMBO-Stuyvesant Town,Year2,131
Year3DUMBO-Stuyvesant Town,DUMBO-Stuyvesant Town,Year3,259
Year3DUMBO-Sunset Park,DUMBO-Sunset Park,Year3,1
Year1DUMBO-Theater District,DUMBO-Theater District,Year1,114
Year2DUMBO-Theater District,DUMBO-Theater District,Year2,58
Year3DUMBO-Theater District,DUMBO-Theater District,Year3,91
Year1DUMBO-Tribeca,DUMBO-Tribeca,Year1,1089
Year2DUMBO-Tribeca,DUMBO-Tribeca,Year2,789
Year3DUMBO-Tribeca,DUMBO-Tribeca,Year3,1035
Year1DUMBO-Two Bridges,DUMBO-Two Bridges,Year1,51
Year2DUMBO-Two Bridges,DUMBO-Two Bridges,Year2,38
Year3DUMBO-Two Bridges,DUMBO-Two Bridges,Year3,83
Year1DUMBO-Upper East Side,DUMBO-Upper East Side,Year1,17
Year2DUMBO-Upper East Side,DUMBO-Upper East Side,Year2,15
Year3DUMBO-Upper East Side,DUMBO-Upper East Side,Year3,53
Year1DUMBO-Upper West Side,DUMBO-Upper West Side,Year1,40
Year2DUMBO-Upper West Side,DUMBO-Upper West Side,Year2,60
Year3DUMBO-Upper West Side,DUMBO-Upper West Side,Year3,137
Year1DUMBO-Vinegar Hill,DUMBO-Vinegar Hill,Year1,1732
Year2DUMBO-Vinegar Hill,DUMBO-Vinegar Hill,Year2,1570
Year3DUMBO-Vinegar Hill,DUMBO-Vinegar Hill,Year3,1844
Year1DUMBO-West Village,DUMBO-West Village,Year1,285
Year2DUMBO-West Village,DUMBO-West Village,Year2,428
Year3DUMBO-West Village,DUMBO-West Village,Year3,552
Year1DUMBO-Williamsburg,DUMBO-Williamsburg,Year1,2502
Year2DUMBO-Williamsburg,DUMBO-Williamsburg,Year2,2690
Year3DUMBO-Williamsburg,DUMBO-Williamsburg,Year3,4196
Year1Downtown Brooklyn-Battery Park City,Downtown Brooklyn-Battery Park City,Year1,775
Year2Downtown Brooklyn-Battery Park City,Downtown Brooklyn-Battery Park City,Year2,416
Year3Downtown Brooklyn-Battery Park City,Downtown Brooklyn-Battery Park City,Year3,722
Year1Downtown Brooklyn-Bedford-Stuyvesant,Downtown Brooklyn-Bedford-Stuyvesant,Year1,1705
Year2Downtown Brooklyn-Bedford-Stuyvesant,Downtown Brooklyn-Bedford-Stuyvesant,Year2,1623
Year3Downtown Brooklyn-Bedford-Stuyvesant,Downtown Brooklyn-Bedford-Stuyvesant,Year3,3099
Year1Downtown Brooklyn-Boerum Hill,Downtown Brooklyn-Boerum Hill,Year1,3781
Year2Downtown Brooklyn-Boerum Hill,Downtown Brooklyn-Boerum Hill,Year2,3242
Year3Downtown Brooklyn-Boerum Hill,Downtown Brooklyn-Boerum Hill,Year3,3584
Year1Downtown Brooklyn-Brooklyn Heights,Downtown Brooklyn-Brooklyn Heights,Year1,7719
Year2Downtown Brooklyn-Brooklyn Heights,Downtown Brooklyn-Brooklyn Heights,Year2,7166
Year3Downtown Brooklyn-Brooklyn Heights,Downtown Brooklyn-Brooklyn Heights,Year3,9313
Year1Downtown Brooklyn-Central Park,Downtown Brooklyn-Central Park,Year1,28
Year2Downtown Brooklyn-Central Park,Downtown Brooklyn-Central Park,Year2,23
Year3Downtown Brooklyn-Central Park,Downtown Brooklyn-Central Park,Year3,36
Year1Downtown Brooklyn-Chelsea,Downtown Brooklyn-Chelsea,Year1,2510
Year2Downtown Brooklyn-Chelsea,Downtown Brooklyn-Chelsea,Year2,850
Year3Downtown Brooklyn-Chelsea,Downtown Brooklyn-Chelsea,Year3,1241
Year1Downtown Brooklyn-Chinatown,Downtown Brooklyn-Chinatown,Year1,2525
Year2Downtown Brooklyn-Chinatown,Downtown Brooklyn-Chinatown,Year2,2309
Year3Downtown Brooklyn-Chinatown,Downtown Brooklyn-Chinatown,Year3,3049
Year1Downtown Brooklyn-Civic Center,Downtown Brooklyn-Civic Center,Year1,5009
Year2Downtown Brooklyn-Civic Center,Downtown Brooklyn-Civic Center,Year2,5782
Year3Downtown Brooklyn-Civic Center,Downtown Brooklyn-Civic Center,Year3,8420
Year1Downtown Brooklyn-Clinton Hill,Downtown Brooklyn-Clinton Hill,Year1,4681
Year2Downtown Brooklyn-Clinton Hill,Downtown Brooklyn-Clinton Hill,Year2,4239
Year3Downtown Brooklyn-Clinton Hill,Downtown Brooklyn-Clinton Hill,Year3,4882
Year1Downtown Brooklyn-Columbia St,Downtown Brooklyn-Columbia St,Year1,995
Year2Downtown Brooklyn-Columbia St,Downtown Brooklyn-Columbia St,Year2,1085
Year3Downtown Brooklyn-Columbia St,Downtown Brooklyn-Columbia St,Year3,973
Year1Downtown Brooklyn-DUMBO,Downtown Brooklyn-DUMBO,Year1,5473
Year2Downtown Brooklyn-DUMBO,Downtown Brooklyn-DUMBO,Year2,5827
Year3Downtown Brooklyn-DUMBO,Downtown Brooklyn-DUMBO,Year3,7773
Year1Downtown Brooklyn-Downtown Brooklyn,Downtown Brooklyn-Downtown Brooklyn,Year1,10013
Year2Downtown Brooklyn-Downtown Brooklyn,Downtown Brooklyn-Downtown Brooklyn,Year2,10090
Year3Downtown Brooklyn-Downtown Brooklyn,Downtown Brooklyn-Downtown Brooklyn,Year3,9579
Year1Downtown Brooklyn-East Village,Downtown Brooklyn-East Village,Year1,6942
Year2Downtown Brooklyn-East Village,Downtown Brooklyn-East Village,Year2,1670
Year3Downtown Brooklyn-East Village,Downtown Brooklyn-East Village,Year3,1829
Year1Downtown Brooklyn-Financial District,Downtown Brooklyn-Financial District,Year1,3206
Year2Downtown Brooklyn-Financial District,Downtown Brooklyn-Financial District,Year2,2686
Year3Downtown Brooklyn-Financial District,Downtown Brooklyn-Financial District,Year3,3523
Year1Downtown Brooklyn-Flatiron District,Downtown Brooklyn-Flatiron District,Year1,780
Year2Downtown Brooklyn-Flatiron District,Downtown Brooklyn-Flatiron District,Year2,409
Year3Downtown Brooklyn-Flatiron District,Downtown Brooklyn-Flatiron District,Year3,396
Year1Downtown Brooklyn-Fort Greene,Downtown Brooklyn-Fort Greene,Year1,11820
Year2Downtown Brooklyn-Fort Greene,Downtown Brooklyn-Fort Greene,Year2,12401
Year3Downtown Brooklyn-Fort Greene,Downtown Brooklyn-Fort Greene,Year3,14091
Year1Downtown Brooklyn-Gramercy,Downtown Brooklyn-Gramercy,Year1,1728
Year2Downtown Brooklyn-Gramercy,Downtown Brooklyn-Gramercy,Year2,326
Year3Downtown Brooklyn-Gramercy,Downtown Brooklyn-Gramercy,Year3,479
Year3Downtown Brooklyn-Greenpoint,Downtown Brooklyn-Greenpoint,Year3,606
Year1Downtown Brooklyn-Greenwich Village,Downtown Brooklyn-Greenwich Village,Year1,2689
Year2Downtown Brooklyn-Greenwich Village,Downtown Brooklyn-Greenwich Village,Year2,631
Year3Downtown Brooklyn-Greenwich Village,Downtown Brooklyn-Greenwich Village,Year3,664
Year1Downtown Brooklyn-Hells Kitchen,Downtown Brooklyn-Hells Kitchen,Year1,688
Year2Downtown Brooklyn-Hells Kitchen,Downtown Brooklyn-Hells Kitchen,Year2,338
Year3Downtown Brooklyn-Hells Kitchen,Downtown Brooklyn-Hells Kitchen,Year3,445
Year1Downtown Brooklyn-Kips Bay,Downtown Brooklyn-Kips Bay,Year1,992
Year2Downtown Brooklyn-Kips Bay,Downtown Brooklyn-Kips Bay,Year2,251
Year3Downtown Brooklyn-Kips Bay,Downtown Brooklyn-Kips Bay,Year3,375
Year3Downtown Brooklyn-Long Island City,Downtown Brooklyn-Long Island City,Year3,70
Year1Downtown Brooklyn-Lower East Side,Downtown Brooklyn-Lower East Side,Year1,3929
