trip_string,counts
Upper East Side-Ditmars Steinway,119944
Murray Hill-Stuyvesant Town,119541
NoHo-Williamsburg,119249
Theater District-Washington Heights,119200
Washington Heights-Harlem,119113
Chelsea-Civic Center,119029
Midtown-Woodside,118714
Williamsburg-Midtown,118032
Ditmars Steinway-Ditmars Steinway,117908
Astoria-Midtown,116590
Kips Bay-NoHo,116180
West Village-Central Park,115953
John F. Kennedy International Airport-Kips Bay,114950
Harlem-Chelsea,114824
Lower East Side-Flatiron District,114657
Tribeca-NoHo,114458
Battery Park City-LaGuardia Airport,114390
East Harlem-Morningside Heights,114359
SoHo-Nolita,114278
Nolita-Lower East Side,114109
LaGuardia Airport-Lower East Side,113941
Flatiron District-Battery Park City,113523
SoHo-LaGuardia Airport,113455
East Village-Park Slope,113412
John F. Kennedy International Airport-Greenwich Village,113032
LaGuardia Airport-Downtown Brooklyn,112858
Bedford-Stuyvesant-Bedford-Stuyvesant,112764
Morningside Heights-Chelsea,112682
LaGuardia Airport-Flushing,112383
Hell's Kitchen-NoHo,111656
Gramercy-Battery Park City,111459
Upper East Side-Nolita,110936
John F. Kennedy International Airport-Lower East Side,110757
Flatiron District-NoHo,110672
Morningside Heights-Washington Heights,110547
Gramercy-East Harlem,110305
trip_string,counts
LaGuardia Airport-Flatiron District,110298
East Village-Crown Heights,110027
Midtown-Jackson Heights,109791
LaGuardia Airport-Washington Heights,109734
Central Park-Murray Hill,109701
West Village-Stuyvesant Town,109450
Williamsburg-Crown Heights,109302
LaGuardia Airport-Bedford-Stuyvesant,109282
John F. Kennedy International Airport-Gramercy,108764
Civic Center-Chelsea,108554
John F. Kennedy International Airport-Park Slope,108489
West Village-John F. Kennedy International Airport,108283
Upper West Side-Long Island City,108238
Murray Hill-NoHo,106875
Central Park-West Village,106637
Sunnyside-Upper East Side,106512
Midtown-East Elmhurst,106326
Chinatown-West Village,106294
Greenwich Village-Stuyvesant Town,105828
NoHo-Flatiron District,105576
LaGuardia Airport-Ditmars Steinway,105252
East Elmhurst-East Elmhurst,104988
John F. Kennedy International Airport-Flushing,104895
LaGuardia Airport-Central Park,104791
NoHo-Theater District,104465
Little Italy-Chelsea,104256
West Village-East Harlem,104214
Chinatown-Williamsburg,104059
Stuyvesant Town-Greenwich Village,104046
Upper East Side-Greenpoint,103645
Williamsburg-Chelsea,103511
LaGuardia Airport-East Elmhurst,103485
LaGuardia Airport-Park Slope,103368
LaGuardia Airport-Greenpoint,103348
Chelsea-Brooklyn Heights,103115
Central Park-Morningside Heights,102843
Theater District-Williamsburg,102420
Battery Park City-Flatiron District,102415
Midtown-Elmhurst,102191
Lower East Side-NoHo,100998
John F. Kennedy International Airport-Tribeca,100622
Theater District-Morningside Heights,100578
Gramercy-Nolita,100514
Chelsea-Downtown Brooklyn,100327
Tribeca-LaGuardia Airport,100283
Astoria-Upper East Side,99704
Hell's Kitchen-Chinatown,99675
Chelsea-Little Italy,99649
Upper East Side-Chinatown,99049
John F. Kennedy International Airport-Forest Hills,98627
East Village-Central Park,98600
Nolita-Financial District,98543
Tribeca-Nolita,98275
Lower East Side-Stuyvesant Town,98171
John F. Kennedy International Airport-Greenpoint,97908
Sunnyside-Sunnyside,97886
Nolita-Greenwich Village,97049
Chelsea-Crown Heights,96764
Midtown-Crown Heights,95794
Kips Bay-Williamsburg,95575
Lower East Side-Battery Park City,95464
Flatiron District-Stuyvesant Town,94512
Brooklyn Heights-Midtown,94146
Upper West Side-Williamsburg,94053
SoHo-John F. Kennedy International Airport,93272
West Village-Bedford-Stuyvesant,93107
John F. Kennedy International Airport-East Harlem,92971
Chinatown-Upper East Side,92299
Central Park-LaGuardia Airport,92102
Lower East Side-East Harlem,91479
Chinatown-Tribeca,91213
Stuyvesant Town-Financial District,90749
Washington Heights-Upper West Side,90563
Chinatown-SoHo,90518
LaGuardia Airport-Morningside Heights,90335
LaGuardia Airport-Crown Heights,89931
Kips Bay-John F. Kennedy International Airport,89391
Battery Park City-Lower East Side,89253
Greenwich Village-LaGuardia Airport,89194
Downtown Brooklyn-Midtown,89140
Gramercy-Chinatown,88746
Park Slope-Park Slope,88653
Kips Bay-Battery Park City,87707
Murray Hill-Long Island City,87464
John F. Kennedy International Airport-Battery Park City,87245
Nolita-Gramercy,87242
West Village-Astoria,86544
Upper West Side-NoHo,86530
Midtown-Fort Greene,85987
Gramercy-John F. Kennedy International Airport,85951
Williamsburg-Upper East Side,85880
Lower East Side-Harlem,85777
Nolita-SoHo,85559
Murray Hill-Williamsburg,85495
Financial District-Civic Center,85317
Financial District-Stuyvesant Town,85049
Williamsburg-Clinton Hill,84987
East Village-Brooklyn Heights,84807
Morningside Heights-Central Park,84565
Central Park-Greenwich Village,84459
Stuyvesant Town-Hell's Kitchen,84430
Chinatown-Hell's Kitchen,84159
Stuyvesant Town-Flatiron District,84025
John F. Kennedy International Airport-Bushwick,83976
Civic Center-East Village,83872
Little Italy-East Village,83745
Financial District-Nolita,83611
Nolita-Hell's Kitchen,83587
Flatiron District-LaGuardia Airport,83521
Midtown-Clinton Hill,83379
Downtown Brooklyn-Williamsburg,83183
East Harlem-LaGuardia Airport,83156
Upper East Side-Jackson Heights,83124
Stuyvesant Town-Lower East Side,82666
Financial District-NoHo,81955
Flatiron District-Williamsburg,81902
Lower East Side-Nolita,81578
Chelsea-Clinton Hill,81477
Stuyvesant Town-West Village,81462
Midtown-Bushwick,81330
East Village-Downtown Brooklyn,81274
SoHo-Civic Center,81269
East Village-Clinton Hill,81212
