FY,trip_string,total_trips
Year2,Upper East Side-Throgs Neck,1363
Year3,Midtown-Claremont Village,1532
Year3,Theater District-Riverdale,1077
Year2,Hell's Kitchen-Soundview,1229
Year2,Prospect-Lefferts Gardens-John F. Kennedy International Airport,257
Year3,Chelsea-Schuylerville,327
Year1,SoHo-Kensington,2013
Year1,John F. Kennedy International Airport-Flushing Meadows Corona Park,2481
Year0,LaGuardia Airport-Bay Terrace,2545
Year0,Midtown-Flatlands,1689
Year0,Lower East Side-Flushing Meadows Corona Park,255
Year2,Harlem-Port Morris,1061
Year2,Forest Hills-Financial District,146
Year3,Bedford-Stuyvesant-Boerum Hill,910
Year1,Upper West Side-Port Morris,1758
Year1,Midtown-Cypress Hills,1250
Year1,Kew Gardens-Washington Heights,28
Year3,Jamaica-Jamaica,3992
Year3,Highbridge-University Heights,18
Year3,Gowanus-Upper East Side,462
Year3,SoHo-Middle Village,367
Year3,Cobble Hill-Upper West Side,982
Year3,Civic Center-John F. Kennedy International Airport,1890
Year2,Fieldston-North Riverdale,53
Year3,Civic Center-Washington Heights,754
Year2,Gramercy-Dyker Heights,343
Year1,Civic Center-Fort Greene,1917
Year1,Central Park-Highbridge,181
Year0,Brooklyn Heights-Prospect-Lefferts Gardens,796
Year1,Midtown-Bath Beach,2070
Year0,West Village-Glendale,496
Year3,SoHo-University Heights,60
Year0,Theater District-Parkchester,1606
Year0,Roosevelt Island-Kips Bay,287
Year0,Morningside Heights-Morris Heights,295
Year0,Civic Center-Forest Hills,274
Year1,Little Italy-Gowanus,488
Year1,Woodside-Clinton Hill,151
Year2,Harlem-Prospect Heights,173
Year1,Crown Heights-Morningside Heights,75
Year1,Gramercy-Fordham,467
Year0,Theater District-Allerton,603
Year0,Lower East Side-Co-op City,109
Year2,Fort Greene-Fort Hamilton,270
Year2,Washington Heights-Claremont Village,421
Year1,East Harlem-Little Italy,361
Year0,Prospect-Lefferts Gardens-East Village,301
Year1,East Elmhurst-SoHo,678
Year0,Long Island City-Midwood,83
Year2,Cambria Heights-Whitestone,1
Year3,Middle Village-Rego Park,85
Year1,Boerum Hill-Washington Heights,205
Year1,Battery Park City-Inwood,408
Year1,Flushing-Bayside,281
Year1,Jamaica-Sunset Park,10
Year0,Morningside Heights-Forest Hills,387
Year1,Hell's Kitchen-Melrose,887
Year3,Washington Heights-Mount Eden,444
Year3,East Harlem-Mount Eden,965
Year0,West Village-Whitestone,267
Year3,Bay Ridge-Carroll Gardens,78
Year3,Theater District-Bayswater,30
Year3,Bedford-Stuyvesant-Cypress Hills,570
Year3,Williamsburg-Green-Wood Cemetery,46
Year0,Kingsbridge-Harlem,173
Year2,Park Slope-Bensonhurst,249
Year0,East Harlem-Kew Gardens,148
Year1,Fort Greene-Coney Island,44
Year0,Murray Hill-Morris Heights,154
Year1,Maspeth-Flatiron District,86
Year0,Queens Village-John F. Kennedy International Airport,12
Year1,NoHo-East New York,123
Year0,Murray Hill-Briarwood,481
Year0,Gowanus-Clinton Hill,639
Year2,Mount Hope-University Heights,32
Year2,Richmond Hill-Hell's Kitchen,166
Year0,Elmhurst-South Slope,19
Year0,Fordham-Claremont Village,42
Year3,Inwood-West Farms,24
Year0,West Village-Tremont,102
Year1,Upper West Side-Concord,28
Year3,North Riverdale-North Riverdale,140
Year3,Flushing Meadows Corona Park-Williamsburg,62
Year3,Floyd Bennett Field-Marine Park,2
Year3,LaGuardia Airport-Forest Park,411
Year2,Mott Haven-Crown Heights,23
Year2,Flushing-Kips Bay,41
Year2,Flatbush-Columbia St,41
Year3,Kensington-Battery Park City,67
Year2,Battery Park City-Kew Gardens,93
Year1,Morningside Heights-Red Hook,84
Year3,Chelsea-Gerritsen Beach,101
Year3,Sheepshead Bay-Borough Park,44
Year2,Sheepshead Bay-Gravesend,212
Year3,NoHo-Roosevelt Island,231
Year3,East Harlem-North Riverdale,145
Year1,Richmond Hill-Murray Hill,132
Year1,Murray Hill-Broad Channel,21
Year0,Concourse Village-Park Slope,1
Year0,Upper West Side-Pelham Gardens,229
Year1,Stuyvesant Town-Navy Yard,49
Year0,Mott Haven-Tremont,42
Year2,Rego Park-Bedford-Stuyvesant,90
Year3,Williamsburg-Arrochar,4
Year0,LaGuardia Airport-Country Club,392
Year3,LaGuardia Airport-Manhattan Beach,149
Year3,Bedford-Stuyvesant-Bay Ridge,171
Year3,Civic Center-Woodhaven,66
Year2,Brooklyn Heights-Jamaica,30
Year2,Little Italy-Bellerose,3
Year1,Bedford-Stuyvesant-Sunnyside,387
Year1,Midtown-Edgemere,18
Year0,Battery Park City-Richmond Hill,150
Year2,Concourse-Randall's Island,4
Year2,Rego Park-Theater District,185
Year3,Middle Village-Ridgewood,55
Year1,Fort Greene-Claremont Village,47
Year1,Tribeca-Mill Basin,86
Year1,Lower East Side-St. Albans,53
Year3,Ridgewood-Forest Hills,42
Year0,Upper West Side-Belle Harbor,11
Year1,Unionport-Longwood,50
Year0,Chinatown-Marine Park,46
Year0,Prospect-Lefferts Gardens-Upper West Side,106
Year2,Prospect Heights-Little Italy,181
Year1,Gowanus-Dyker Heights,130
Year3,Two Bridges-Carroll Gardens,100
Year3,Clinton Hill-Navy Yard,132
Year3,Corona-Greenwich Village,41
Year3,Washington Heights-Forest Hills,66
Year0,Hollis-John F. Kennedy International Airport,11
Year1,Tribeca-Mount Hope,50
Year0,East New York-Upper East Side,38
Year3,Financial District-Rosebank,25
Year2,Chinatown-Longwood,129
Year0,Kew Gardens-Elmhurst,140
Year0,East Harlem-Howard Beach,35
Year3,South Ozone Park-Corona,12
Year0,Nolita-Glendale,66
Year1,East Elmhurst-Jamaica Estates,125
Year1,Woodside-Flushing Meadows Corona Park,83
Year1,Boerum Hill-Woodside,157
Year1,Bronxdale-Longwood,8
Year3,Chelsea-Silver Lake,27
Year0,South Ozone Park-Ditmars Steinway,21
Year1,Bronxdale-Claremont Village,4
Year1,Kew Gardens-Ridgewood,23
Year3,Midwood-Prospect-Lefferts Gardens,48
Year3,Downtown Brooklyn-Woodhaven,40
Year1,John F. Kennedy International Airport-Grant City,42
Year1,Long Island City-Red Hook,228
Year2,Prospect-Lefferts Gardens-Shore Acres,3
Year0,Norwood-Bronx Park,18
Year3,Nolita-Tremont,7
Year0,Kew Gardens Hills-Bellerose,10
Year2,Flushing-Morningside Heights,22
Year1,College Point-Elmhurst,27
Year1,East Elmhurst-Spuyten Duyvil,27
Year2,Greenwich Village-Jamaica Estates,206
Year1,Carroll Gardens-Green-Wood Cemetery,45
Year1,East Elmhurst-Vinegar Hill,26
Year0,Williamsburg-Forest Park,163
Year0,Briarwood-Crown Heights,4
Year1,Williamsburg-Hunts Point,37
Year0,Bensonhurst-East Elmhurst,7
Year0,Mott Haven-Little Italy,5
Year3,Edenwald-Edenwald,50
Year3,Red Hook-Fort Hamilton,30
Year3,Downtown Brooklyn-Coney Island,79
Year2,Red Hook-Richmond Hill,3
Year3,Woodside-Howard Beach,25
Year0,College Point-Woodside,12
Year1,Concourse-NoHo,9
Year2,Stuyvesant Town-Westchester Square,13
Year1,LaGuardia Airport-Crotona Park,32
Year1,Chelsea-Clifton,34
Year1,Jamaica-Flatlands,6
Year3,South Slope-Nolita,31
Year0,Port Morris-Forest Hills,9
Year3,Two Bridges-Bensonhurst,9
Year3,Battery Park City-Westchester Square,10
Year3,East New York-Flatbush,93
Year0,Columbia St-Long Island City,42
Year3,Kingsbridge-Hunts Point,6
Year0,Upper West Side-Hollis Hills,48
Year1,Greenwich Village-Hollis Hills,35
Year1,East Village-Rockaway Beach,37
Year3,Flushing-Financial District,64
Year0,Concourse-Jamaica,7
Year1,Woodside-Gowanus,66
Year0,Ridgewood-Upper West Side,29
Year1,NoHo-Hunts Point,9
Year1,Concourse-Inwood,86
Year1,Flushing-Woodhaven,29
Year1,Riverdale-Belmont,3
Year3,Harlem-South Slope,86
Year0,Midwood-Prospect-Lefferts Gardens,41
Year2,Pelham Gardens-Unionport,3
Year3,Battery Park City-Huguenot,1
Year0,Long Island City-Brighton Beach,42
Year1,Chinatown-Bergen Beach,21
Year3,Central Park-Hunts Point,46
Year1,Boerum Hill-Kingsbridge,12
Year2,East Village-Forest Park,122
Year0,Morris Park-Riverdale,3
Year3,Downtown Brooklyn-Kew Gardens,45
Year2,Rosedale-Astoria,2
Year3,Williamsburg-Marine Park,54
Year0,Williamsburg-Springfield Gardens,38
Year3,Nolita-Williamsbridge,9
Year1,South Slope-Concourse,4
Year1,NoHo-Belmont,52
Year3,Castle Hill-Fordham,5
Year3,Kips Bay-Bronx Park,55
Year2,South Ozone Park-Red Hook,7
Year1,Long Island City-Coney Island,23
Year0,Mott Haven-Van Cortlandt Park,6
Year1,Midtown-Park Hill,53
Year1,NoHo-Flatlands,93
Year2,Briarwood-Howard Beach,3
Year3,Stuyvesant Town-Kew Gardens,35
Year2,Shore Acres-Shore Acres,74
Year1,Battery Park City-Kingsbridge,78
Year2,Kips Bay-Neponsit,3
Year0,Red Hook-Dyker Heights,10
Year0,Morris Heights-Theater District,21
Year3,Upper West Side-Todt Hill,21
Year1,Williamsburg-Country Club,15
Year0,SoHo-New Dorp Beach,4
Year1,West Farms-Washington Heights,17
Year2,Marine Park-Gravesend,6
Year2,Washington Heights-College Point,13
Year1,Woodside-Canarsie,5
Year1,Boerum Hill-Arrochar,3
Year1,Crown Heights-Woodhaven,32
Year3,Williamsbridge-Parkchester,7
Year2,Westchester Square-Harlem,16
Year3,Concord-Arrochar,1
Year0,Rosedale-Morningside Heights,1
Year2,Astoria-Clason Point,27
Year3,East Morrisania-Morrisania,23
Year3,Fresh Meadows-Rego Park,11
Year2,Williamsburg-St. Albans,31
Year3,Murray Hill-Cunningham Park,4
Year2,Cobble Hill-Green-Wood Cemetery,11
Year0,Prospect Park-Sunnyside,30
Year2,Coney Island-Midwood,5
Year1,Corona-Queens Village,8
Year0,Longwood-Theater District,30
Year2,Longwood-East New York,3
Year2,East Flatbush-Sunnyside,9
Year1,Tremont-Mount Eden,6
Year2,Flatlands-DUMBO,2
Year3,DUMBO-Corona,6
Year0,Boerum Hill-Floral Park,2
Year2,Jackson Heights-Schuylerville,7
Year3,Coney Island-East New York,11
Year1,Kew Gardens Hills-East Village,14
Year0,Longwood-Olinville,4
Year3,Morrisania-Olinville,3
Year0,Chinatown-Cunningham Park,3
Year3,Williamsburg-Van Cortlandt Park,10
Year2,Prospect Park-Nolita,29
Year0,Randall's Island-Brooklyn Heights,7
Year2,Upper East Side-Edgemere,7
Year2,City Island-Bronxdale,2
Year0,Flatlands-Woodside,3
Year3,Fort Greene-Tompkinsville,5
Year0,South Slope-Kew Gardens,4
Year0,Woodhaven-Chinatown,2
Year0,Jamaica Bay-Murray Hill,1
Year0,Maspeth-Whitestone,13
Year0,Windsor Terrace-Bath Beach,6
Year3,Flatiron District-Alley Pond Park,1
Year0,Jackson Heights-Westchester Square,9
Year0,Mount Eden-Longwood,11
Year1,Morningside Heights-Castle Hill,27
Year1,Jamaica Estates-NoHo,3
Year2,Maspeth-Whitestone,30
Year1,Park Slope-Rockaway Park,12
Year3,Maspeth-Jamaica Hills,15
Year2,Middle Village-Bedford-Stuyvesant,20
Year0,Howard Beach-Elmhurst,7
Year3,Financial District-Ferry Point Park,6
Year1,Cambria Heights-Borough Park,2
Year2,Fort Hamilton-Ditmars Steinway,4
Year1,Kensington-Bergen Beach,7
Year3,Chinatown-Bayswater,3
Year3,Westchester Square-Upper East Side,12
Year3,Soundview-Murray Hill,2
Year1,Cobble Hill-Kew Gardens Hills,13
Year3,Crotona Park-Belmont,1
Year3,Belle Harbor-Breezy Point,4
Year1,Bedford-Stuyvesant-Holliswood,3
Year0,Fordham-LaGuardia Airport,17
Year0,Prospect Heights-Kew Gardens Hills,17
Year0,Flatlands-Battery Park City,4
Year3,Central Park-St. Albans,14
Year3,Kips Bay-Tottenville,5
Year3,Wakefield-Belmont,5
Year0,Forest Park-Canarsie,3
Year1,Chinatown-West Brighton,6
Year3,Flatbush-Flushing Meadows Corona Park,4
Year2,Maspeth-Canarsie,1
Year2,Governors Island-Kips Bay,3
Year2,NoHo-Schuylerville,20
Year2,LaGuardia Airport-Lighthouse Hill,14
Year0,Morningside Heights-Little Neck,3
Year3,Kingsbridge-Olinville,7
Year0,Brighton Beach-Greenwich Village,4
Year2,Gravesend-Marine Park,21
Year0,Mount Eden-Bushwick,3
Year0,Nolita-Melrose,21
Year3,Central Park-Coney Island,8
Year2,Bath Beach-Civic Center,2
Year0,Elmhurst-Tremont,8
Year2,Kensington-Kew Gardens,6
Year3,Chinatown-Lighthouse Hill,1
Year0,Todt Hill-Emerson Hill,2
Year0,Cypress Hills-Park Slope,10
Year2,Long Island City-Oakwood,1
Year1,Gravesend-Arrochar,2
Year2,Central Park-Concord,8
Year3,College Point-Financial District,6
Year3,Vinegar Hill-Richmond Hill,1
Year2,"Nolita-Chelsea, Staten Island",1
Year1,Bensonhurst-Kips Bay,8
Year3,Governors Island-Upper East Side,2
Year0,Jamaica Bay-Midtown,6
Year3,Woodhaven-Jamaica Hills,4
Year0,Mount Hope-Central Park,7
Year3,Brownsville-Red Hook,6
Year3,Battery Park City-Far Rockaway,7
Year1,Westchester Square-Concourse,1
Year2,South Ozone Park-Concourse,2
Year0,University Heights-Riverdale,1
Year3,Castle Hill-Claremont Village,1
Year0,Bushwick-Fresh Meadows,2
Year1,Battery Park City-Edgemere,2
Year1,Downtown Brooklyn-Bay Terrace,10
Year3,Bedford-Stuyvesant-Pelham Bay,1
Year3,West Village-Charleston,1
Year0,Kew Gardens Hills-Greenpoint,4
Year1,Dyker Heights-SoHo,5
Year0,Two Bridges-Springfield Gardens,6
Year0,West Brighton-Tribeca,1
Year3,West Farms-Williamsbridge,7
Year0,City Island-Pelham Gardens,3
Year1,Vinegar Hill-Cypress Hills,7
Year0,Clason Point-West Farms,2
Year3,Howard Beach-Laurelton,2
Year0,Grant City-Grant City,7
Year3,Arverne-Upper West Side,1
Year1,Mount Hope-Olinville,3
Year1,Ditmars Steinway-Marble Hill,9
Year0,Baychester-Westchester Square,1
Year1,Windsor Terrace-Little Italy,3
Year2,Kips Bay-Prince's Bay,4
Year0,West Farms-Flushing,1
Year2,Van Nest-Bedford-Stuyvesant,1
Year3,Jackson Heights-Pelham Bay,3
Year1,Canarsie-Harlem,3
Year0,New Dorp-Oakwood,4
Year1,Carroll Gardens-Allerton,2
Year3,Little Italy-Green-Wood Cemetery,7
Year3,Springfield Gardens-East Elmhurst,1
Year1,Hollis-Forest Hills,2
Year2,Queens Village-Rego Park,3
Year0,Glendale-Flushing,10
Year0,Todt Hill-Graniteville,1
Year3,Mount Eden-College Point,2
Year1,Prospect Park-North Riverdale,2
Year2,Queens Village-Floral Park,5
Year1,Gerritsen Beach-Sheepshead Bay,3
Year3,Woodhaven-Morris Park,1
Year2,Castle Hill-East Harlem,5
Year1,Jamaica-Throgs Neck,6
Year1,Kew Gardens-Flatbush,4
Year1,Unionport-Civic Center,2
Year2,Central Park-Manhattan Beach,5
Year1,Prospect-Lefferts Gardens-Mount Eden,2
Year0,East New York-Corona,7
Year0,Gravesend-South Ozone Park,1
Year2,Boerum Hill-Arverne,4
Year3,Sunset Park-Norwood,2
Year3,Maspeth-Red Hook,7
Year2,Jamaica Estates-Whitestone,3
Year2,Coney Island-Vinegar Hill,1
Year1,Greenwich Village-Richmondtown,6
Year0,Plum Beach-Morningside Heights,1
Year3,Concourse Village-Flatbush,1
Year2,Manhattan Beach-Midwood,1
Year2,Morris Heights-Little Italy,1
Year0,Olinville-Inwood,1
Year0,New Brighton-Greenwich Village,1
Year0,East Flatbush-Rosedale,2
Year0,Richmond Hill-Flatlands,1
Year2,Whitestone-Inwood,1
Year2,Coney Island-LaGuardia Airport,4
Year1,Morningside Heights-Gerritsen Beach,1
Year1,Kingsbridge-Park Slope,4
Year0,Woodside-Edenwald,1
Year3,Inwood-Laurelton,1
Year3,Bedford-Stuyvesant-Eastchester,1
Year0,Kips Bay-New Dorp Beach,2
Year2,Rego Park-Co-op City,1
Year1,Concourse Village-East Flatbush,2
Year3,Olinville-Baychester,1
Year0,Arden Heights-Chelsea,2
Year0,Schuylerville-Wakefield,1
Year0,Sunset Park-Oakwood,1
Year2,Mott Haven-Briarwood,1
Year3,Kingsbridge-Tribeca,6
Year2,Marine Park-Fort Hamilton,1
Year3,Upper East Side-Latourette Park,2
Year2,Governors Island-West Village,5
Year0,Clifton-Concord,2
Year1,Forest Hills-Pelham Gardens,1
Year0,Midwood-Melrose,1
Year3,Civic Center-Clifton,2
Year2,Randall's Island-Belmont,2
Year2,Morningside Heights-Forest Park,5
Year0,Soundview-Forest Park,1
Year1,Tribeca-Charleston,1
Year1,Baychester-Soundview,3
Year2,Schuylerville-Bronx Park,3
Year2,Inwood-Sheepshead Bay,2
Year1,Todt Hill-Castleton Corners,2
Year1,Country Club-Baychester,2
Year3,University Heights-Greenpoint,2
Year0,Bergen Beach-Flatiron District,1
Year3,Cunningham Park-Upper East Side,1
Year0,East Morrisania-Baychester,3
Year2,Corona-Bay Terrace,2
Year2,Bayside-Harlem,1
Year3,Co-op City-Bronx Park,2
Year2,Unionport-Sunset Park,1
Year2,University Heights-Battery Park City,2
Year0,DUMBO-Hollis Hills,1
Year2,Fieldston-LaGuardia Airport,4
Year2,Fort Hamilton-Rosebank,4
Year1,Mount Eden-Bay Ridge,1
Year1,Randall's Island-Pelham Bay,1
Year0,Ozone Park-Bronx Park,1
Year1,Brighton Beach-Middle Village,1
Year3,Briarwood-Laurelton,3
Year2,Crown Heights-Hollis Hills,2
Year0,Bloomfield-Chelsea,1
Year1,Soundview-Bellerose,1
Year2,Soundview-Morningside Heights,4
Year0,Soundview-Maspeth,1
Year0,Bay Ridge-Graniteville,1
Year2,Wakefield-Little Italy,1
Year0,Williamsburg-Midland Beach,3
Year0,Flushing-Emerson Hill,1
Year3,Kew Gardens-Flatlands,2
Year0,Central Park-Huguenot,1
Year3,Morris Heights-Rockaway Beach,1
Year1,Bronx Park-Morris Heights,1
Year2,Long Island City-Willowbrook,1
Year2,Spuyten Duyvil-Battery Park City,1
Year3,West Village-Broad Channel,1
Year1,Central Park-Lighthouse Hill,1
Year2,Ozone Park-Carroll Gardens,3
Year2,Borough Park-Shore Acres,1
Year1,Howard Beach-Flatlands,1
Year0,Bay Ridge-Fresh Meadows,1
Year2,Concourse-Pelham Bay Park,2
Year3,Cunningham Park-Forest Hills,1
Year0,Prospect Heights-Clason Point,2
Year3,Hollis-Sunnyside,1
Year2,West Brighton-New Springville,1
Year1,Battery Park City-Arverne,2
Year2,Laurelton-South Ozone Park,1
Year0,Prospect Heights-Fresh Meadows,4
Year1,Woodhaven-Inwood,2
Year3,Morris Park-Inwood,2
Year2,Spuyten Duyvil-Jamaica,1
Year1,Baychester-Washington Heights,1
Year1,Gowanus-Glen Oaks,1
Year1,Two Bridges-Baychester,2
Year1,Flushing-Kensington,2
Year0,Rossville-Two Bridges,1
Year1,Sunnyside-Broad Channel,2
Year0,Mott Haven-Oakwood,1
Year2,Spuyten Duyvil-Astoria,1
Year2,East Morrisania-Morningside Heights,1
Year3,Rosedale-Co-op City,1
Year0,South Ozone Park-Dongan Hills,1
Year3,Hunts Point-College Point,1
Year2,Concourse-Midwood,1
Year2,Willowbrook-Theater District,1
Year2,Hollis-Upper East Side,1
Year1,Briarwood-Concourse Village,1
Year1,Elmhurst-Bull's Head,1
Year2,East Flatbush-Clason Point,1
Year0,Boerum Hill-Hollis Hills,1
Year2,Fordham-Cobble Hill,1
Year0,Westchester Square-East Elmhurst,1
Year2,Cypress Hills-Ditmars Steinway,1
Year0,Brownsville-Midwood,2
Year3,Two Bridges-Schuylerville,1
Year1,Morrisania-Fort Hamilton,1
FY,trip_string,total_trips
Year1,NoHo-Lower East Side,43683
Year1,Theater District-Greenwich Village,83661
Year1,Upper West Side-Little Italy,5273
Year1,Brooklyn Heights-Bedford-Stuyvesant,4701
Year1,Prospect Heights-Greenpoint,2497
Year1,LaGuardia Airport-Concourse,1564
Year1,Upper East Side-Bay Ridge,3840
Year1,South Slope-Flatbush,1230
Year3,Brooklyn Heights-Clinton Hill,2506
Year3,LaGuardia Airport-Upper East Side,273372
Year3,West Village-Chinatown,33684
Year3,Battery Park City-Tribeca,116758
Year3,Tribeca-Chinatown,34660
Year3,Little Italy-East Village,18570
Year3,Central Park-SoHo,13707
Year3,Lower East Side-Tribeca,45120
Year3,West Village-Prospect Heights,5351
Year3,Chelsea-Sunset Park,11329
Year3,Astoria-Hell's Kitchen,3155
Year3,Prospect Heights-Prospect Heights,3067
Year3,Park Slope-Carroll Gardens,3743
Year3,Gramercy-Glendale,305
Year3,Carroll Gardens-Sunset Park,2638
Year3,Kips Bay-Harlem,14425
Year3,LaGuardia Airport-Glendale,2156
Year1,Williamsburg-Boerum Hill,10706
Year1,Chelsea-Rosebank,48
Year1,Flatiron District-DUMBO,2779
Year0,Upper East Side-Murray Hill,528991
Year0,Gramercy-Midtown,673019
Year0,Flatiron District-Upper East Side,208873
Year0,Harlem-Harlem,216538
Year0,Stuyvesant Town-East Village,51253
Year0,Stuyvesant Town-Gramercy,33609
Year0,Central Park-SoHo,22696
Year3,LaGuardia Airport-Ozone Park,1777
Year3,Upper East Side-Mount Eden,1299
Year0,Upper West Side-Maspeth,2892
Year0,Two Bridges-Chinatown,830
Year0,Chelsea-Kensington,4724
Year0,Harlem-Morningside Heights,71297
Year0,Greenwich Village-Forest Hills,2388
Year0,Prospect Heights-Prospect Heights,4346
Year0,LaGuardia Airport-Morris Heights,867
Year0,Fort Greene-Chelsea,8139
Year0,Randall's Island-Upper East Side,2276
Year0,Financial District-Columbia St,1642
Year0,Greenwich Village-Bay Ridge,2934
Year2,Kips Bay-Little Italy,3857
Year2,Chinatown-Cobble Hill,1331
Year2,Financial District-Fort Greene,7963
Year2,Gramercy-Brooklyn Heights,8329
Year2,Financial District-Bedford-Stuyvesant,13790
Year2,Chelsea-Crown Heights,25671
Year2,Lower East Side-Astoria,17877
Year2,Brooklyn Heights-Morningside Heights,157
Year2,Midtown-Richmond Hill,4239
Year2,Jamaica-Harlem,389
Year2,John F. Kennedy International Airport-Vinegar Hill,1337
Year3,Tribeca-Little Italy,12741
Year3,South Slope-Prospect Heights,800
Year3,Prospect Park-Kensington,160
Year0,Flatbush-Williamsburg,358
Year3,SoHo-Woodside,1327
Year3,Upper West Side-Melrose,1701
Year1,Kips Bay-Borough Park,1220
Year3,Chelsea-Throgs Neck,575
Year1,West Village-Van Cortlandt Park,91
Year2,Brooklyn Heights-Tribeca,7338
Year2,DUMBO-Bay Ridge,134
Year2,Chelsea-East New York,2078
Year2,Boerum Hill-Little Neck,4
Year1,Woodside-Greenpoint,720
Year3,South Ozone Park-John F. Kennedy International Airport,1404
Year3,Harlem-Ditmars Steinway,866
Year3,Civic Center-Bensonhurst,157
Year1,Richmond Hill-Midtown,706
Year0,Financial District-Kensington,2267
Year0,Financial District-Rego Park,1595
Year1,Downtown Brooklyn-DUMBO,5305
Year1,Kips Bay-Navy Yard,291
Year1,Civic Center-Astoria,810
Year1,West Village-Norwood,556
Year1,John F. Kennedy International Airport-University Heights,739
Year3,Morningside Heights-Gramercy,1750
Year3,Forest Hills-Kew Gardens Hills,984
Year3,Bushwick-Chinatown,239
Year2,Port Richmond-Randall Manor,2
Year2,Sunset Park-Gowanus,898
Year2,Little Italy-Cobble Hill,376
Year0,Midtown-Marble Hill,522
Year1,Bellerose-Queens Village,39
Year2,Flatiron District-Jamaica Estates,147
Year2,Bedford-Stuyvesant-Fort Greene,6266
Year2,Midtown-Brownsville,1116
Year2,Jamaica-Chelsea,1250
